Nom de l'entreprise,Note,Nombre de reviews,Catégorie,Site,Adresse,En France,Pourcentage 5 étoiles,Pourcentage 4 étoiles,Pourcentage 3 étoiles,Pourcentage 2 étoiles,Pourcentage 1 étoile
Champgrand,4.8,"13,236",Clothing Store,http://www.champgrand.fr/,"4 Route de Saint-Mards, 76590 , BELMESNIL, France",Oui,87%,8%,2%,1%,2%
Moda di Andrea,4.9,471,Clothing Store,https://modadiandrea.com/fr/,"79 RUE DE LA VICTOIRE, 75009, PARIS 9, France",Oui,96%,2%,1%,1%,2%
Bonobo Jeans,3.9,201,Clothing Store,http://bonoboplanet.com/,,Oui,46%,5%,1%,7%,41%
Vinted FR,3.4,"40,485",Clothing Store,https://vinted.fr/,,Oui,43%,7%,4%,4%,42%
Cocorico,4.5,"15,123",Clothing Store,http://www.cocorico.store/,,Oui,77%,11%,5%,3%,4%
Painful clothing,4.8,137,Clothing Store,http://painfulclothing.com/,,Oui,97%,1%,1%,1%,1%
Fuzz Bayonne,4.9,481,Clothing Store,https://www.fuzz-bayonne.com/,"12 rue Albert 1er, 64100, Bayonne, France",Oui,97%,2%,1%,0%,1%
Hast,4.8,291,Clothing Store,http://hastparis.com/,"20 BOULEVARD POISSONNIERE, 75009, PARIS, France",Oui,89%,4%,3%,1%,3%
Morgan,3.8,518,Clothing Store,http://morgandetoi.fr/,,Oui,46%,6%,5%,4%,39%
Footkorner,3.4,"1,960",Clothing Store,http://footkorner.com/,,Oui,0%,0%,3%,2%,35%
BAISI Hair FR,4.4,"1,218",Hair & Beauty,http://baisihair.fr/,"44300, France",Oui,76%,6%,2%,2%,14%
Sessile,4.8,"1,030",Shoe Store,https://bit.ly/3NSdH3j,"42 Rue Albert-René-Biotteau, 49570, Mauges-sur-Loire, France",Oui,87%,8%,3%,1%,1%
tajinebanane.fr,4.8,924,Clothing Store,http://tajinebanane.fr/,,Oui,89%,6%,2%,1%,2%
Holekings,4.0,3,Clothing Store,http://www.holekings.com/,,Oui,0%,0%,0%,0%,0%
Sarenza,4.1,"3,777",Clothing Store,http://www.sarenza.com/,,Oui,53%,5%,2%,3%,37%
CQFD Avignon,4.8,129,Clothing Store,http://cqfd-avignon.fr/,"7 rue des trois faucons, 84000, Avignon, France",Oui,91%,5%,2%,0%,2%
MYZAH,4.9,254,Jewelry Store,http://myzah.com/,"25 rue de Ponthieu, 75008, Paris, France",Oui,94%,5%,0%,0%,1%
Tourismo Clothing,4.8,135,Clothing Store,https://tourismoclothing.com/,,Oui,93%,3%,2%,0%,2%
Fitmefor20,4.0,4,Clothing Store,http://fitmefor20.com/,,Oui,0%,0%,0%,0%,0%
bottinsarl.com,4.8,336,Clothing Store,http://bottinsarl.com/,"Rue Maurice Burrus 12, 68160, Sainte-Croix-aux-Mines, France",Oui,0%,8%,1%,1%,1%
Univers du Japon,4.8,"3,603",Clothing Store,https://universdujapon.com/,"66 avenue des Champs Elysées, 75008, Paris, France",Oui,91%,6%,1%,1%,1%
NORM-CORE,4.3,"1,605",Clothing Store,http://norm-core.com/,,Oui,72%,12%,4%,4%,8%
Crazy Frings,4.8,"1,605",Clothing Store,https://www.crazyfrings.com/,"12 AVENUE PIERRE CURIE, 13980, ALLEINS, France",Oui,92%,5%,1%,1%,1%
Theblackluxe,3.4,2,Clothing Store,https://theblackluxe.com/,,Oui,0%,0%,0%,0%,0%
De La Mode,4.8,216,Clothing Store,http://delamode.fr/,,Oui,92%,3%,2%,1%,2%
Vestiaire Collective,4.1,"72,807",Clothing Store,http://vestiairecollective.com/?utm_medium=partnership&utm_source=trustpilot.com,"53 Rue de Châteaudun, 75009, Paris, France",Oui,59%,9%,4%,3%,25%
Warm People,3.8,2,Clothing Store,http://warmpeople.co/,,Oui,0%,0%,0%,0%,0%
Boothbee,4.2,6,Clothing Store,http://boothbee.com/,,Oui,0%,0%,0%,0%,0%
Offrandes,4.9,140,Clothing Store,https://www.offrandes.com/,"28 rue Rabutin Chantal, 13009, Marseille, France",Oui,0%,0%,0%,0%,0%
Boutique Route du Sud,4.8,875,Shoe Store,http://boutiqueroutedusud.com/,"53 rue Emile Guichenné, 64000, Pau, France",Oui,91%,6%,1%,1%,1%
Caprices 130,4.9,384,Clothing Store,http://caprices130.com/,"130 Avenue du Général Leclerc, 75014, Paris, France",Oui,97%,2%,1%,0%,1%
Schmiede Mode,4.3,7,Clothing Store,http://schmiedemode.de/,,Oui,0%,0%,0%,0%,0%
Maison de MaMoulia,4.9,"2,309",Clothing Store,http://maisondemamoulia.fr/,,Oui,93%,5%,1%,1%,1%
Kalos France,4.8,"1,457",Jewelry Store,http://kalos-france.com/,,Oui,88%,7%,2%,1%,2%
WeDressFair,4.8,"2,149",Clothing Store,https://www.wedressfair.fr/,"4 rue des capucins, 69001, Lyon, France",Oui,87%,9%,2%,1%,1%
Bonobo Jeans,3.9,201,Clothing Store,http://bonoboplanet.com/,,Oui,46%,5%,1%,7%,41%
Vinted FR,3.4,"40,485",Clothing Store,https://vinted.fr/,,Oui,43%,7%,4%,4%,42%
Cocorico,4.5,"15,123",Clothing Store,http://www.cocorico.store/,,Oui,77%,11%,5%,3%,4%
Morgan,3.8,518,Clothing Store,http://morgandetoi.fr/,,Oui,46%,6%,5%,4%,39%
Footkorner,3.4,"1,960",Clothing Store,http://footkorner.com/,,Oui,0%,0%,3%,2%,35%
Fenekia,4.7,192,Clothing Store,http://fenekia.com/,,Oui,0%,5%,1%,2%,2%
Cars and me,4.7,755,Clothing Store,http://www.carsandme.com/,,Oui,85%,9%,1%,2%,3%
BAISI Hair FR,4.4,"1,218",Hair & Beauty,http://baisihair.fr/,"44300, France",Oui,76%,6%,2%,2%,14%
Oraije,4.6,410,Clothing Store,http://www.oraije.com/,"71 rue de provence, 75009, Paris, France",Oui,81%,8%,2%,3%,6%
MR MARVIS France,4.7,"4,267",Clothing Store,https://www.mrmarvis.com/fr,,Oui,86%,9%,2%,1%,2%
Crève Clothing,4.7,752,Clothing Store,https://creveclothing.com/,"13 Rue Flandres Dunkerque, 53940, Ahuillé, France",Oui,88%,6%,1%,2%,3%
VEROMA,4.7,94,Clothing Store,http://veroma-boutique.com/,"47 avenue germain tequi, Saint-Juéry, 81160, France",Oui,92%,4%,2%,1%,1%
Bad Doggies,4.8,109,Clothing Store,http://baddoggies.shop/,"33 Rue Gustave Courbet, 33660, Saint-Seurin-sur-l'Isle, France",Oui,96%,1%,2%,1%,0%
Holekings,4.0,3,Clothing Store,http://www.holekings.com/,,Oui,0%,0%,0%,0%,0%
ATELIER WEAVES,4.7,413,Clothing Store,http://atelierweaves.com/,"12 rue Amiral de Grasse, 06000, Nice, France",Oui,89%,7%,2%,1%,2%
Chaussettes Bambou,4.7,346,Clothing Store,http://chaussettes-bambou.fr/,"32 rue Nationale, 72000, Le Mans, France",Oui,0%,12%,3%,2%,3%
Sarenza,4.1,"3,777",Clothing Store,http://www.sarenza.com/,,Oui,53%,5%,2%,3%,37%
Nb08shop,4.8,86,Clothing Store,http://nb08shop.com/,,Oui,93%,4%,0%,1%,2%
GODWEAR - Marque de vêtement chrétienne,4.7,32,Clothing Store,http://godwear.fr/,,Oui,0%,0%,0%,0%,0%
Fskorp,4.7,120,Shoe Store,http://www.fskorp.com/,"4 avenue de Lauterbourg, 69160, Tassin la demi lune, France",Oui,89%,7%,0%,1%,3%
Cotton Park,4.7,237,Clothing Store,https://www.cotton-park.com/,"Rue des Filles du Calvaire 4, 75003, Paris, France",Oui,87%,9%,1%,1%,3%
Horizons Lointains,4.7,"4,539",Clothing Store,https://horizons-lointains.fr/,"9 rue la Praya, 33950, Lège Cap Ferret, France",Oui,87%,7%,3%,1%,2%
Fitmefor20,4.0,4,Clothing Store,http://fitmefor20.com/,,Oui,0%,0%,0%,0%,0%
Aprizo,4.6,"1,549",Clothing Store,http://aprizo.com/,"72 rue Archereau, 75019, Paris, France",Oui,84%,9%,3%,1%,3%
NORM-CORE,4.3,"1,605",Clothing Store,http://norm-core.com/,,Oui,72%,12%,4%,4%,8%
Dimension Stores,4.7,194,Shoe Store,http://www.dimension-stores.com/,"28 Rue Lanterne, 69001, Lyon, France",Oui,94%,2%,1%,1%,4%
Theblackluxe,3.4,2,Clothing Store,https://theblackluxe.com/,,Oui,0%,0%,0%,0%,0%
Vestiaire Collective,4.1,"72,807",Clothing Store,http://vestiairecollective.com/?utm_medium=partnership&utm_source=trustpilot.com,"53 Rue de Châteaudun, 75009, Paris, France",Oui,59%,9%,4%,3%,25%
Warm People,3.8,2,Clothing Store,http://warmpeople.co/,,Oui,0%,0%,0%,0%,0%
Solinaboutique,4.7,141,Clothing Store,http://solinaboutique.com/,"4 rue montesquieu , 33000, Bordeaux, France",Oui,84%,11%,2%,1%,2%
Boothbee,4.2,6,Clothing Store,http://boothbee.com/,,Oui,0%,0%,0%,0%,0%
Marc-Antoine Barrois,4.7,95,Beauty Store,http://marcantoinebarrois.com/,"14-16 Rue du Faubourg Saint-Honoré, 75008, Paris, France",Oui,91%,4%,2%,0%,3%
Schmiede Mode,4.3,7,Clothing Store,http://schmiedemode.de/,,Oui,0%,0%,0%,0%,0%
Kalos France,4.8,"1,457",Jewelry Store,http://kalos-france.com/,,Oui,88%,7%,2%,1%,2%
Super Spectre,4.8,50,Clothing Store,https://www.super-spectre.com/,,Oui,0%,0%,0%,0%,0%
Bonobo Jeans,3.9,201,Clothing Store,http://bonoboplanet.com/,,Oui,46%,5%,1%,7%,41%
Cocorico,4.5,"15,123",Clothing Store,http://www.cocorico.store/,,Oui,77%,11%,5%,3%,4%
Vinted FR,3.4,"40,485",Clothing Store,https://vinted.fr/,,Oui,43%,7%,4%,4%,42%
Morgan,3.8,518,Clothing Store,http://morgandetoi.fr/,,Oui,46%,6%,5%,4%,39%
Footkorner,3.4,"1,960",Clothing Store,http://footkorner.com/,,Oui,0%,0%,3%,2%,35%
FUSALP,4.4,714,Clothing Store,https://fusalp.com/,"177 rue Saint-Honoré, 75001 Paris, Paris, FR",Oui,81%,4%,2%,3%,0%
BAISI Hair FR,4.4,"1,218",Hair & Beauty,http://baisihair.fr/,"44300, France",Oui,76%,6%,2%,2%,14%
Koukaparis,4.5,"1,271",Clothing Store,http://www.koukaparis.com/,"1, rue Vincent Compoint , 75018, Paris , France",Oui,73%,7%,5%,3%,12%
Chaussettes De Santé,4.5,258,Clothing Store,http://chaussettes-de-sante.fr/,"32 rue Nationale, 72000, Le Mans, France",Oui,81%,0%,2%,1%,6%
Labdip,4.5,594,Clothing Store,https://www.labdip.fr/,"58 Rue Amelot, 75011, Paris, France",Oui,78%,0%,4%,2%,6%
LYOUM,4.5,79,Clothing Store,http://lyoum.co/,"1 rue de l’Abbesse Eremburge, 91190, Gif sur Yvette, France",Oui,85%,5%,4%,1%,5%
Holekings,4.0,3,Clothing Store,http://www.holekings.com/,,Oui,0%,0%,0%,0%,0%
Made in Sens,4.6,84,Clothing Store,http://madeinsens.com/,"2 avenue Jean Jaurès, 92120, Montrouge, France",Oui,86%,7%,1%,2%,4%
Sweetplaid,4.4,"5,678",Clothing Store,http://www.sweetplaid.com/,,Oui,0%,12%,6%,5%,17%
Sarenza,4.1,"3,777",Clothing Store,http://www.sarenza.com/,,Oui,53%,5%,2%,3%,37%
My Qamis Homme,4.6,47,Clothing Store,http://my-qamis-homme.com/,,Oui,88%,6%,2%,0%,4%
Ava Be,4.6,236,Clothing Store,http://ava-be.com/,"Place Delibes, 13008, Marseille, France",Oui,91%,2%,0%,2%,5%
Paradigme,4.4,535,Clothing Store,https://paradigme.fr/,"5 Parvis Alan Turing, 75013, Paris, France",Oui,82%,8%,4%,1%,5%
Fitmefor20,4.0,4,Clothing Store,http://fitmefor20.com/,,Oui,0%,0%,0%,0%,0%
NORM-CORE,4.3,"1,605",Clothing Store,http://norm-core.com/,,Oui,72%,12%,4%,4%,8%
Theblackluxe,3.4,2,Clothing Store,https://theblackluxe.com/,,Oui,0%,0%,0%,0%,0%
Vestiaire Collective,4.1,"72,807",Clothing Store,http://vestiairecollective.com/?utm_medium=partnership&utm_source=trustpilot.com,"53 Rue de Châteaudun, 75009, Paris, France",Oui,59%,9%,4%,3%,25%
Mephistoshop Parisversailles,4.6,34,Shoe Store,http://mephistoshop-parisversailles.fr/,,Oui,97%,0%,0%,0%,3%
FROM FUTURE,4.5,"1,848",Clothing Store,http://www.fromfuture.com/,"150 rue Gallieni, 92100, Boulogne-Billancourt, France",Oui,71%,7%,3%,5%,14%
MCB PARIS,4.5,"1,153",Clothing Store,http://mcb-paris.fr/,,Oui,81%,8%,5%,3%,3%
Boothbee,4.2,6,Clothing Store,http://boothbee.com/,,Oui,0%,0%,0%,0%,0%
Warm People,3.8,2,Clothing Store,http://warmpeople.co/,,Oui,0%,0%,0%,0%,0%
Smoon lingerie,4.5,"2,920",Clothing Store,http://smoon-lingerie.com/,"96 avenue de la République , 75011, Paris, France",Oui,75%,12%,5%,3%,5%
Loalilabel,4.5,63,Clothing Store,http://loalilabel.com/,,Oui,81%,11%,0%,0%,8%
GDC - Galerie Dressing Chaussures,4.4,820,Shoe Store,https://gdcboutique.com/,"230 avenue Robert Schuman, 34500, Béziers, France",Oui,75%,0%,5%,2%,8%
Schmiede Mode,4.3,7,Clothing Store,http://schmiedemode.de/,,Oui,0%,0%,0%,0%,0%
Kalos France,4.8,"1,457",Jewelry Store,http://kalos-france.com/,,Oui,88%,7%,2%,1%,2%
Côtelé Paris,4.6,290,Clothing Store,http://coteleparis.com/,"22 passage du Ponceau, 75002, Paris, France",Oui,0%,11%,3%,3%,3%
Bonobo Jeans,3.9,201,Clothing Store,http://bonoboplanet.com/,,Oui,46%,5%,1%,7%,41%
